"geoid","GEO.display-label","occ","oou","rou","mhi_occ","mhi_oou","mhi_rou","mhc_occ","mhc_oou","mhc_rou"
"25013800101","Census Tract 8001.01, Hampden County, Massachusetts",1483,714,769,39713,56838,25216,965,931,980
"25013800102","Census Tract 8001.02, Hampden County, Massachusetts",1545,352,1193,28906,42955,25817,831,1091,809
"25013800201","Census Tract 8002.01, Hampden County, Massachusetts",2551,1572,979,40412,58705,27639,961,1064,897
"25013800202","Census Tract 8002.02, Hampden County, Massachusetts",555,442,113,41719,41563,47813,923,892,938
"25013800300","Census Tract 8003, Hampden County, Massachusetts",1730,1017,713,39469,55313,21208,951,1092,917
"25013800400","Census Tract 8004, Hampden County, Massachusetts",2078,1089,989,37126,55859,24547,1054,1121,1011
"25013800500","Census Tract 8005, Hampden County, Massachusetts",1052,663,389,41141,53555,23250,1067,1257,928
"25013800600","Census Tract 8006, Hampden County, Massachusetts",789,49,740,17425,46125,16687,760,1482,737
"25013800700","Census Tract 8007, Hampden County, Massachusetts",1571,326,1245,14573,57981,12948,458,1200,367
"25013800800","Census Tract 8008, Hampden County, Massachusetts",891,60,831,15047,63571,13772,619,,601
"25013800900","Census Tract 8009, Hampden County, Massachusetts",1765,129,1636,14449,38750,13569,484,995,446
"25013801101","Census Tract 8011.01, Hampden County, Massachusetts",1102,58,1044,,,,711,650,716
"25013801102","Census Tract 8011.02, Hampden County, Massachusetts",586,22,564,25769,51250,24758,906,408,917
"25013801200","Census Tract 8012, Hampden County, Massachusetts",1151,53,1098,12599,88875,12141,723,,720
"25013801300","Census Tract 8013, Hampden County, Massachusetts",1571,623,948,26094,65583,15282,956,1366,701
"25013801401","Census Tract 8014.01, Hampden County, Massachusetts",1237,455,782,24803,43292,15606,872,1010,852
"25013801402","Census Tract 8014.02, Hampden County, Massachusetts",743,599,144,54850,62011,17292,1005,1052,633
"25013801501","Census Tract 8015.01, Hampden County, Massachusetts",1796,1312,484,51413,61232,21324,1158,1172,1104
"25013801502","Census Tract 8015.02, Hampden County, Massachusetts",1228,568,660,27171,53125,14034,684,1095,566
"25013801503","Census Tract 8015.03, Hampden County, Massachusetts",1586,1088,498,38750,36442,41210,896,708,1038
"25013801601","Census Tract 8016.01, Hampden County, Massachusetts",1558,1134,424,47941,62059,33800,1187,1087,1760
"25013801602","Census Tract 8016.02, Hampden County, Massachusetts",1799,1333,466,50696,66779,18906,1063,1220,684
"25013801603","Census Tract 8016.03, Hampden County, Massachusetts",1723,1368,355,,,,1127,1162,1029
"25013801604","Census Tract 8016.04, Hampden County, Massachusetts",1502,1482,20,75714,75714,,1415,1415,
"25013801605","Census Tract 8016.05, Hampden County, Massachusetts",1726,1079,647,48125,71544,14615,857,1173,485
"25013801700","Census Tract 8017, Hampden County, Massachusetts",1797,751,1046,32837,41774,22955,991,1067,968
"25013801800","Census Tract 8018, Hampden County, Massachusetts",1169,419,750,25329,30223,18889,913,1026,886
"25013801901","Census Tract 8019.01, Hampden County, Massachusetts",1450,224,1226,21000,35326,18036,751,900,743
"25013801902","Census Tract 8019.02, Hampden County, Massachusetts",1415,202,1213,,,,715,1029,703
